mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,chroma_mean,spectral_centroid,spectral_bandwidth,spectral_rolloff,zero_crossing_rate,rms_energy,type,interval_start,interval_end,file_name
-292.629,183.57146,-66.835434,-16.946964,-27.256487,-5.341168,-19.68787,-10.667473,1.1823062,-14.118466,1.73532,-1.2825103,0.19161715,-7.8730197,-5.3558645,-0.9770486,-10.759438,-7.0566335,-4.369075,-4.4671693,0.40369207,1955.5694120326116,2154.2065450451814,3142.698893923241,0.05282599280383795,0.048207555,REAL,0.0,10.0,biden-original.wav
-282.8267,185.59949,-59.46434,-8.625219,-27.985434,1.4590492,-16.057997,-3.564722,-1.7979277,-16.802607,1.1233559,-7.1984468,-0.8529053,-6.213785,-1.7965065,-5.6055408,-13.736365,-7.267483,-4.177091,-3.8753536,0.36649612,1962.792985452529,2261.797421733152,3151.819029850746,0.05148400019989339,0.054904014,REAL,10.0,20.0,biden-original.wav
-323.36493,184.04057,-44.738613,-10.211464,-23.81502,-1.2492933,-12.5711,-4.5939646,1.7618128,-11.0730715,2.1936212,-4.7372274,-2.6053479,-5.022684,-2.7243817,-4.275983,-10.844128,-5.9902053,-4.1230993,-5.192776,0.344451,1852.6644730232013,2378.3512712008874,2976.087753198294,0.04456373267590618,0.04136665,REAL,20.0,30.0,biden-original.wav
-316.01648,177.2455,-47.67153,-3.5620737,-21.48431,-1.374686,-13.063898,-7.0534,-0.10565856,-9.280397,3.1474788,-4.572424,-1.4365388,-5.6870356,-2.1828308,0.030642577,-4.8772674,-4.58906,-4.6875606,-4.613776,0.3728827,2044.1147974908072,2438.8398960097384,3260.6859674840084,0.05157509744802772,0.04080365,REAL,30.0,40.0,biden-original.wav
-352.06204,177.05319,-32.603863,-13.656229,-9.804168,6.783495,-8.952962,-10.575117,-7.4055214,-13.2646675,0.117450185,-2.889641,-2.2438002,-4.535051,-2.4950147,0.35225675,-3.3972402,-5.0719438,-5.229114,-7.083385,0.37314427,1855.0596794721691,2492.8121396227875,2841.034781449893,0.04559495352478678,0.03709821,REAL,40.0,50.0,biden-original.wav
-307.80737,174.89743,-50.511906,-1.4455373,-21.81813,3.2470195,-17.750189,-8.287199,-4.1684227,-13.27497,0.23479708,-10.176807,-2.390348,-9.326579,-2.300175,-0.82851595,-6.9176917,-5.4322195,-5.6090293,-4.93875,0.34631628,2046.500885843561,2478.6077681424204,3298.265924840085,0.050090993136993604,0.048878383,REAL,50.0,60.0,biden-original.wav
-307.61893,173.4859,-61.250607,0.16560808,-25.541876,-1.6401981,-16.8095,-5.507385,-2.6193433,-11.222309,5.381733,-7.862922,1.6877172,-4.424687,-2.5690117,-2.9877346,-7.5243673,-2.427436,-3.0704477,-0.09637295,0.3456764,2160.5469680316514,2506.822250283545,3567.3724013859273,0.05383847364738806,0.04221813,REAL,60.0,70.0,biden-original.wav
-324.1412,176.79684,-36.07567,-1.2590592,-24.228106,0.04035621,-10.549711,-11.122087,-5.1028004,-12.848933,-5.369675,-12.145935,-1.2885584,-6.4442797,-6.0010295,2.1746573,-5.170599,-8.795634,-4.5150733,-7.1623,0.32313707,1885.2623729383297,2389.2750874199337,2997.876132729211,0.04508689115804904,0.051849812,REAL,70.0,80.0,biden-original.wav
-318.2737,174.63226,-55.897995,-10.969533,-24.392353,-1.7348268,-13.918,-4.8405833,0.7661909,-10.482029,0.540167,-6.736857,-0.7416547,-6.104209,-1.5252582,-0.066147275,-7.410263,-6.5655723,-5.182579,-2.8558369,0.37516138,2088.681707184136,2507.439136782479,3336.070762260128,0.054039928704690834,0.038182665,REAL,80.0,90.0,biden-original.wav
-337.2157,162.69792,-42.0003,-2.434782,-17.52203,3.8942888,-8.181984,-8.473407,-6.993057,-12.228074,-1.3209277,-8.634082,-0.83946544,-5.11537,-3.3998077,-3.966086,-9.236957,-5.7710824,-4.802095,-6.578777,0.339758,2196.743566819216,2647.5842315284576,3561.000799573561,0.05371354027851812,0.04045921,REAL,90.0,100.0,biden-original.wav
